,publishedAt,authorName,text,isReply,cleaned,label_kmedoids,distance_kmedoids,semi
1822,2019-05-15 17:29:10,Felix B,if you dont belive in climate change you are a traitor to all humans and need to be deald with like traitors!,0,if you dont belive in climate change you are a traitor to all humans and need to be deald with like traitors!  ,11,0.000174582,none
3806,2019-01-28 13:14:59,Caput Mortem,"This is fake, this is jewsih propaganda",0,"This is fake, this is jewsih propaganda  ",39,0.0021513104,none
4674,2018-12-28 23:12:53,Carnivorous plants & gardening,Trump is gonna build a wall and make the ocean pay for it,0,Trump is gonna build a wall and make the ocean pay for it  ,25,0.0052093267,none
8882,2018-05-09 19:16:53,william dohn,Actually the aliens are coming to steal all the water so it will look like Tatooine.,0,Actually the aliens are coming to steal all the water so it will look like Tatooine.  ,25,0.0005136728,none
9776,2018-04-27 08:29:31,akashmihir84,The biggest population centers that will survive are Paris and Berlin. And then they will go for another world war.,0,The biggest population centers that will survive are Paris and Berlin. And then they will go for another world war.  ,12,0.0007094145,none
10342,2018-03-09 21:55:55,DeutschGaming,DONT FORGET HALF OF GERMANY,1,DONT FORGET HALF OF GERMANY  ,28,0.003087759,none
10800,2018-01-23 02:00:27,jon rheaume,Well idiot maker of this video. No One Cares. In fact it happened once. In fact just last week there was evidence found of a forest on Antarctica.. So yes it did happen once already. No one wants to hear your cries. Man wasn&#39;t around when it happened climate change just happens.,0,Well  maker of this video. No One Cares. In fact it happened once. In fact just last week there was evidence found of a forest on Antarctica.. So yes it did happen once already. No one wants to hear your cries. Man wasn't around when it happened climate change just happens.  ,3,0.0001513362,none
11330,2017-12-15 05:52:08,Bob Trenwith,Great flood .... hahahaha .... another idiot christian.,1,Great flood .... hahahaha .... another  christian.  ,25,0.0013764501,none
11828,2017-11-04 07:23:12,Pomeranian Productions,Lel Berlin in germany would be either at the New Coast or on a island.,0,Lel Berlin in germany would be either at the New Coast or on a island.  ,28,0.002242744,none
11843,2017-10-30 11:52:36,Moe Rey,Damn chinese!!,0,Damn chinese!!  ,35,0.00010538101,none
12893,2017-11-06 19:24:12,S T,you liberals love money you never earned idiot!,1,you liberals love money you never earned !  ,39,0.0037758946,none
12907,2017-09-23 21:35:35,S T,"these are your attempts at taking my money, liberal twit",1,"these are your attempts at taking my money, liberal twit  ",39,0.0034671426,none
12909,2017-09-22 08:01:06,S T,you liberals make me sick,1,you liberals make me sick  ,39,0.0036842823,none
12911,2017-07-24 07:43:04,auec,Senegal destroyed?,0,Senegal destroyed?  ,28,0.0027899742,none
12922,2017-07-23 15:13:53,EvilHomerSimpson,finally good bye england,0,finally good bye england  ,28,0.0038605928,none
13240,2017-06-28 03:13:16,Dustin Newman,"Well, my home state of Louisiana would be gone. Whole east side of the state is nothing but bayous anyway. <br /><br />Poor Florida btw",0,"Well, my home state of Louisiana would be gone. Whole east side of the state is nothing but bayous anyway.      Poor Florida btw  ",0,0.0005091429,none
15527,2017-03-06 11:45:10,Jackal,Complete horse shit. Who believes this crap?!,0,lete horse shit. Who believes this crap?!  ,37,0.0008933544,none
18218,2016-11-30 21:55:25,lI Il,This video makes it look a lot scarier than it really is.,1,This video makes it look a lot scarier than it really is.  ,20,0.004790604,none
